CMDLINE /usr/local/opt/python/bin/python3.7 simpleProgram.py
MEM 318.960938 1551762082.2426
MEM 327.843750 1551762082.3450
MEM 330.167969 1551762082.4481
MEM 333.171875 1551762082.5486
MEM 336.183594 1551762082.6496
MEM 338.777344 1551762082.7510
MEM 341.468750 1551762082.8536
MEM 344.144531 1551762082.9576
MEM 337.871094 1551762083.0594
MEM 341.015625 1551762083.1625
MEM 344.101562 1551762083.2664
MEM 346.289062 1551762083.3671
MEM 348.144531 1551762083.4681
MEM 350.109375 1551762083.5699
MEM 351.750000 1551762083.6724
MEM 353.777344 1551762083.7778
MEM 355.792969 1551762083.8781
MEM 358.531250 1551762083.9825
MEM 361.679688 1551762084.0872
MEM 364.632812 1551762084.1910
MEM 367.613281 1551762084.2954
MEM 370.621094 1551762084.4006
MEM 373.667969 1551762084.5057
MEM 376.566406 1551762084.6092
MEM 379.214844 1551762084.7107
MEM 382.253906 1551762084.8133
MEM 385.011719 1551762084.9136
MEM 387.460938 1551762085.0142
MEM 379.863281 1551762085.1146
MEM 382.339844 1551762085.2150
MEM 385.347656 1551762085.3187
MEM 387.960938 1551762085.4190
MEM 391.136719 1551762085.5198
MEM 394.449219 1551762085.6241
MEM 397.355469 1551762085.7265
MEM 409.117188 1551762085.8274
MEM 409.738281 1551762085.9282
MEM 412.675781 1551762086.0310
MEM 415.742188 1551762086.1344
MEM 418.949219 1551762086.2389
MEM 422.117188 1551762086.3414
MEM 423.773438 1551762086.4417
MEM 423.773438 1551762086.5455
MEM 423.773438 1551762086.6465
MEM 423.773438 1551762086.7468
MEM 423.773438 1551762086.8519
MEM 423.773438 1551762086.9536
MEM 425.660156 1551762087.0588
MEM 428.683594 1551762087.1613
MEM 431.421875 1551762087.2618
MEM 434.343750 1551762087.3662
MEM 436.542969 1551762087.4666
MEM 425.011719 1551762087.5689
MEM 426.312500 1551762087.6693
MEM 429.167969 1551762087.7695
MEM 431.804688 1551762087.8714
MEM 434.433594 1551762087.9717
MEM 437.277344 1551762088.0743
MEM 440.210938 1551762088.1749
MEM 442.152344 1551762088.2756
MEM 444.320312 1551762088.3760
MEM 447.269531 1551762088.4778
MEM 450.070312 1551762088.5792
MEM 453.160156 1551762088.6813
MEM 455.746094 1551762088.7815
MEM 458.816406 1551762088.8851
MEM 461.609375 1551762088.9866
MEM 464.578125 1551762089.0873
MEM 467.257812 1551762089.1919
MEM 470.328125 1551762089.2971
MEM 471.714844 1551762089.3999
MEM 474.070312 1551762089.5047
MEM 476.164062 1551762089.6094
MEM 478.136719 1551762089.7109
MEM 480.093750 1551762089.8134
MEM 481.964844 1551762089.9139
MEM 483.660156 1551762090.0155
MEM 485.394531 1551762090.1158
MEM 487.179688 1551762090.2160
MEM 490.238281 1551762090.3204
MEM 493.046875 1551762090.4214
MEM 496.109375 1551762090.5217
MEM 499.128906 1551762090.6252
MEM 502.066406 1551762090.7296
MEM 504.789062 1551762090.8321
MEM 506.386719 1551762090.9365
MEM 506.386719 1551762091.0375
MEM 508.937500 1551762091.1408
MEM 511.687500 1551762091.2459
MEM 514.074219 1551762091.3475
MEM 516.929688 1551762091.4480
MEM 519.621094 1551762091.5509
MEM 521.992188 1551762091.6544
MEM 525.167969 1551762091.7571
MEM 528.042969 1551762091.8578
MEM 530.562500 1551762091.9615
