CMDLINE /usr/local/opt/python/bin/python3.7 mandelbrot2.py
MEM 87.972656 1551482319.1285
MEM 88.085938 1551482319.2335
MEM 88.085938 1551482319.3378
MEM 88.199219 1551482319.4395
MEM 88.199219 1551482319.5437
MEM 88.312500 1551482319.6461
MEM 88.312500 1551482319.7486
MEM 88.429688 1551482319.8489
MEM 88.429688 1551482319.9507
MEM 88.488281 1551482320.0511
MEM 88.542969 1551482320.1518
MEM 88.558594 1551482320.2538
MEM 88.660156 1551482320.3557
MEM 88.671875 1551482320.4568
MEM 88.773438 1551482320.5572
MEM 88.773438 1551482320.6580
MEM 88.886719 1551482320.7624
MEM 88.886719 1551482320.8630
MEM 89.000000 1551482320.9639
MEM 89.000000 1551482321.0655
MEM 89.113281 1551482321.1682
MEM 89.113281 1551482321.2690
MEM 89.230469 1551482321.3697
MEM 89.230469 1551482321.4725
MEM 89.343750 1551482321.5731
MEM 89.343750 1551482321.6734
MEM 89.460938 1551482321.7738
MEM 89.460938 1551482321.8741
MEM 89.566406 1551482321.9792
MEM 89.574219 1551482322.0835
MEM 89.664062 1551482322.1880
MEM 89.687500 1551482322.2932
MEM 89.750000 1551482322.3962
MEM 89.800781 1551482322.4970
MEM 89.800781 1551482322.5999
MEM 89.914062 1551482322.7004
MEM 89.914062 1551482322.8042
MEM 90.031250 1551482322.9061
MEM 90.031250 1551482323.0113
MEM 90.144531 1551482323.1124
MEM 90.144531 1551482323.2133
MEM 90.261719 1551482323.3160
MEM 90.261719 1551482323.4163
MEM 90.375000 1551482323.5169
MEM 90.375000 1551482323.6173
MEM 90.488281 1551482323.7196
MEM 90.488281 1551482323.8198
MEM 90.601562 1551482323.9203
MEM 90.601562 1551482324.0220
MEM 90.679688 1551482324.1232
MEM 90.714844 1551482324.2244
MEM 90.722656 1551482324.3247
MEM 90.832031 1551482324.4279
MEM 90.832031 1551482324.5289
MEM 90.945312 1551482324.6298
MEM 90.945312 1551482324.7307
MEM 91.062500 1551482324.8325
